userId,bookId,rating
1,152,3
1,594,2
1,184,5
1,553,4
1,177,5
1,215,2
1,324,2
1,231,5
1,371,5
1,237,1
1,178,2
1,489,1
1,186,4
1,494,4
1,249,3
1,473,2
1,212,1
1,338,4
1,365,4
1,510,2
1,411,2
1,134,2
1,139,1
1,599,4
1,181,3
1,470,4
1,149,3
1,277,3
1,407,3
1,558,5
1,169,1
1,270,5
1,348,5
1,427,2
1,264,1
1,294,5
1,547,4
1,450,5
1,419,1
1,333,1
1,235,1
1,590,2
1,557,1
1,429,3
1,252,4
1,548,1
1,391,2
1,555,4
1,300,2
1,154,2
1,398,5
1,412,2
1,267,4
1,172,3
1,423,5
1,140,3
1,415,1
1,520,3
1,475,4
1,511,3
1,168,1
1,484,2
1,136,3
1,332,2
1,486,4
1,449,2
1,351,1
1,397,5
1,205,1
1,114,3
1,552,3
1,292,2
1,204,5
1,236,4
1,567,4
1,289,1
1,518,1
1,318,1
1,321,2
1,468,5
1,322,5
1,541,4
1,430,5
1,549,5
1,284,1
1,329,5
1,192,1
1,561,1
1,335,1
1,165,3
1,508,1
1,147,1
1,433,1
1,197,1
1,589,5
1,273,1
1,410,3
1,360,5
1,515,1
1,384,2
1,576,1
1,542,2
1,121,2
1,291,1
1,514,5
1,241,4
1,334,3
1,116,4
1,179,3
1,491,1
1,504,5
1,218,4
1,159,2
1,456,5
1,194,2
1,581,5
1,535,2
1,580,1
1,349,5
1,183,2
1,578,1
1,224,2
1,583,3
1,151,3
1,276,4
1,315,2
1,191,4
1,255,2
1,211,3
1,285,2
1,464,4
1,493,4
1,422,1
1,113,5
1,502,4
1,295,3
1,247,4
1,428,2
1,258,4
1,413,5
1,166,2
1,209,4
1,232,2
1,454,5
1,516,3
1,163,5
1,250,2
1,129,4
1,106,5
1,565,4
1,509,3
1,233,5
1,176,5
1,262,5
1,472,2
1,442,4
1,394,5
1,271,5
1,188,1
1,245,2
1,354,2
1,529,5
1,102,5
1,137,3
1,199,5
1,216,4
1,246,4
1,445,5
1,217,2
1,162,4
1,459,1
1,586,4
1,323,1
1,148,4
1,439,3
1,483,2
1,251,3
1,142,1
1,387,1
1,374,2
1,229,3
1,296,5
1,223,1
1,297,2
1,595,5
1,182,5
1,173,4
1,380,5
1,290,2
1,234,1
1,546,1
1,375,3
1,358,2
1,265,3
1,568,4
1,328,2
1,344,1
1,531,2
1,202,4
1,505,3
1,356,4
1,425,5
1,167,1
1,443,1
1,573,2
1,579,1
1,298,5
1,355,1
1,597,3
1,308,1
1,174,5
1,336,3
1,346,4
1,534,2
1,455,3
1,240,3
1,497,2
1,522,3
1,120,3
1,538,4
1,327,2
1,569,2
1,107,1
1,481,5
1,460,3
1,466,2
1,527,4
1,330,4
1,369,1
1,539,5
1,457,2
1,164,2
1,554,4
1,480,3
1,141,4
1,222,1
1,275,2
1,524,5
1,353,4
1,242,1
1,408,3
1,488,1
1,467,5
1,485,2
1,254,2
1,220,5
1,434,4
1,219,4
1,312,5
1,272,1
1,195,3
1,543,5
1,556,2
1,562,3
1,598,3
1,201,2
1,339,4
1,203,2
1,288,1
1,381,3
1,574,1
1,572,5
1,366,2
1,112,5
1,311,4
1,225,4
1,350,5
1,244,5
1,118,1
1,286,2
1,448,2
1,453,4
1,479,4
1,544,1
1,105,3
1,575,5
1,418,1
1,281,5
1,104,1
1,155,5
1,158,3
1,110,2
1,478,1
1,438,3
1,436,3
1,185,2
1,278,1
1,111,3
1,146,1
1,385,1
1,379,4
1,160,1
1,533,4
1,474,5
1,521,4
1,266,2
1,378,5
1,117,5
1,452,3
1,560,2
1,196,3
1,592,1
1,213,2
1,341,1
1,367,5
1,446,1
1,282,1
1,342,5
1,458,3
1,437,3
1,426,2
1,280,5
1,441,3
1,393,2
1,372,2
1,253,5
1,143,1
1,409,3
1,431,2
1,187,2
1,305,4
1,482,2
1,537,5
1,198,4
1,487,4
1,243,3
1,127,4
1,383,2
1,144,2
1,404,5
1,263,1
1,420,2
1,108,2
1,293,3
1,238,3
1,156,4
1,304,3
1,495,5
1,301,5
1,210,1
1,496,3
1,274,4
1,115,2
1,500,5
1,596,2
1,525,3
1,421,5
1,406,5
1,368,4
1,530,1
1,364,5
1,545,1
1,221,1
1,316,2
1,214,2
1,462,5
1,314,1
1,512,3
1,477,4
1,299,4
1,150,3
1,405,5
1,313,4
1,345,3
1,499,3
1,128,4
1,347,1
1,269,4
1,239,2
1,471,5
1,370,3
1,319,2
1,171,1
1,461,4
1,377,1
1,591,1
1,123,5
1,352,5
1,536,5
1,145,1
1,417,5
1,303,2
1,435,1
1,320,3
1,395,4
1,343,3
1,261,1
1,526,4
1,132,4
1,131,5
1,153,1
1,570,5
1,571,1
1,396,3
1,180,1
1,103,1
1,416,2
1,170,5
1,577,2
1,532,4
2,575,2
2,311,1
2,317,1
2,371,1
2,516,5
2,324,2
2,416,1
2,407,1
2,166,3
2,254,2
2,245,4
2,286,1
2,473,3
2,108,4
2,390,2
2,524,4
2,426,2
2,309,3
2,570,5
2,183,1
2,337,2
2,187,1
2,445,4
2,413,3
2,384,4
2,147,5
2,454,2
2,421,3
2,265,4
2,349,1
2,542,3
2,507,1
2,597,3
2,331,4
2,395,3
2,594,2
2,297,5
2,136,4
2,512,2
2,119,2
2,460,3
2,398,5
2,321,1
2,139,2
